raw_intervention_name,normalized_name,nct_ids,clinicaltrials_intervention_type,previous_drug_type,new_pipeline_scope,scope_reason,scope_method,scope_confidence,dashboard_eligible,manual_review_required
Behavioral modification and education on pharmacologic treatments.,behavioral modification and education on pharmacologic treatments,NCT03378245,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
BIIB092,biib092,NCT03352557,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Remote Low,remote low,NCT04048759,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Remote High,remote high,NCT04048759,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Personal Coach,personal coach,NCT04048759,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
VT301,vt301,NCT05016427,BIOLOGICAL,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
JNJ-54861911 (100 mg),jnj 54861911 100 mg,NCT02180269,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
High-Velocity Resistance Training,high velocity resistance training,NCT07444554,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
"EI-1071 tablet, oral",ei 1071 tablet oral,NCT06745583,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
P-tau217 Test,p tau217 test,NCT07142954,OTHER,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Mindfulness-based stress reduction program,mindfulness based stress reduction program,NCT04235881,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
App REM volver a casa,app rem volver a casa,NCT04235881,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Meganatural-Az Grapeseed Extract,meganatural az grapeseed extract,NCT02033941,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
2 months control condition - 4 months chariot-flash,2 months control condition 4 months chariot flash,NCT02933177,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
4 months control condition-2 months chariot flash,4 months control condition 2 months chariot flash,NCT02933177,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Piromelatine,piromelatine,NCT02615002,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
[18F]T807 ([18F]MNI-777),18f t807 18f mni 777,NCT02103894,DRUG,diagnostic_or_imaging_agent,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,False
OHS-interRAI,ohs interrai,NCT06536322,OTHER,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Formoterol A,formoterol a,NCT02500784,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Formoterol B (placebo),formoterol b placebo,NCT02500784,OTHER,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
GSK933776,gsk933776,NCT01424436,BIOLOGICAL,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Magnesium sulfate,magnesium sulfate,NCT03038334,DIETARY_SUPPLEMENT,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,False
Baricitinib,baricitinib,NCT05189106,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
"PTI-125, 100 mg tablets",pti 125 100 mg tablets,NCT03748706,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
ABBV-916,abbv 916,NCT05291234,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
3D Kinect based game,3d kinect based game,NCT07673263,OTHER,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Conventional therapy group,conventional therapy group,NCT07673263,OTHER,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Fisetin,fisetin,NCT07279714,OTHER,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Placebo and ginkgo extract,placebo and ginkgo extract,NCT00164749,DRUG,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Curcumin and ginkgo extract,curcumin and ginkgo extract,NCT00164749,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Transdermal Methylphenidate,transdermal methylphenidate,NCT01825577,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
BI 409306,bi 409306,NCT02240693; NCT02337907,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
DMXB-A,dmxb a,NCT00414622,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Acetylcholinesterase Inhibitors,acetylcholinesterase inhibitors,NCT05102045,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Bilateral chronic electrical stimulation of the hypothalamus/fornix,bilateral chronic electrical stimulation of the hypothalamus fornix,NCT00888056,PROCEDURE,procedure,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,False
ReBuilder,rebuilder,NCT03611439,DIETARY_SUPPLEMENT,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,False
Actimetrics,actimetrics,NCT05649514; NCT05924425,PROCEDURE,procedure,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,False
MK-2214,mk 2214,NCT05466422; NCT07033494,BIOLOGICAL,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
N-831(Traneurocin) 10 mg QD,n 831 traneurocin 10 mg qd,NCT03538522,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
NA-831 (Traneurocin) 20 mg QD,na 831 traneurocin 20 mg qd,NCT03538522,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
NA-831 (Traneurocin) 40 mg QD,na 831 traneurocin 40 mg qd,NCT03538522,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Placebo oral capsule QD,placebo oral capsule qd,NCT03538522,DRUG,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
N-hydroxy-N'-phenyl-octanediamide (Vorinostat),n hydroxy n phenyl octanediamide vorinostat,NCT03056495,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Cognitive stimulation,cognitive stimulation,NCT05433493,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Gastro-retentive zinc cysteine tablet,gastro retentive zinc cysteine tablet,NCT01099332,OTHER,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Tablet identical physically to active comparator containing some lactose,tablet identical physically to active comparator containing some lactose,NCT01099332,OTHER,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
FDG-PET brain scan,fdg pet brain scan,NCT00329706,PROCEDURE,diagnostic_or_imaging_agent,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,False
ABvac40,abvac40,NCT03113812,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Intermittent deep brain stimulation of the nucleus basalis of Meynert,intermittent deep brain stimulation of the nucleus basalis of meynert,NCT07218081,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Enhanced Physical Activity,enhanced physical activity,NCT02384993,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Images,images,NCT07006155,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Sham Temporal Interference Stimulation,sham temporal interference stimulation,NCT07643363,DEVICE,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Targeted Cognitive Training,targeted cognitive training,NCT07643363,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
General Cognitive Training,general cognitive training,NCT07643363,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Cerefolin NAC (a medical food),cerefolin nac a medical food,NCT00597376,OTHER,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Cerefolin NAC placebo,cerefolin nac placebo,NCT00597376,OTHER,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Continuous Glucose Monitoring,continuous glucose monitoring,NCT05643144,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Personalized diet,personalized diet,NCT06199193,DIETARY_SUPPLEMENT,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,False
Dietary counseling,dietary counseling,NCT06199193,DIETARY_SUPPLEMENT,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Citalopram [Celexa],citalopram celexa,NCT00009204,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Perphenazine [Trilafon],perphenazine trilafon,NCT00009204,DRUG,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
SHUTi OASIS,shuti oasis,NCT05565833,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Patient Education,patient education,NCT05565833,OTHER,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Hydralazine hydrochloride 25mg tablets,hydralazine hydrochloride 25mg tablets,NCT04842552,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
18F-FDG,18f fdg,NCT01890343,DRUG,diagnostic_or_imaging_agent,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,False
[F18] T807,f18 t807,NCT01733355,RADIATION,diagnostic_or_imaging_agent,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,False
medidux™ app,medidux app,NCT05425550,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Repetitive Transcranial Magnetic Coil Stimulation (rTMS),repetitive transcranial magnetic coil stimulation rtms,NCT00814697,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
BBTI,bbti,NCT07272863,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
BMT,bmt,NCT07272863,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Omni-Biotic Stress Repair,omni biotic stress repair,NCT03847714,DIETARY_SUPPLEMENT,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,False
Remotely supervised Transcranial Direct Current Stimulation (RS-tDCS),remotely supervised transcranial direct current stimulation rs tdcs,NCT05901233,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Remotely supervised sham tDCS (RS-sham-tDCS),remotely supervised sham tdcs rs sham tdcs,NCT05901233,DEVICE,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Lexical Retrieval Training (LRT),lexical retrieval training lrt,NCT05741853; NCT05901233,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Video Implemented Script Training in Aphasia (VISTA),video implemented script training in aphasia vista,NCT05901233,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
[18F]CSF-23,18f csf 23,NCT06148233,RADIATION,procedure,Non-Drug Intervention,RADIATION-type intervention with no imaging evidence in its name — confirm manually,rule_type,low,False,True
low carb diet,low carb diet,NCT05642052,DIETARY_SUPPLEMENT,uncertain,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,False
Regular diet,regular diet,NCT05642052,DIETARY_SUPPLEMENT,uncertain,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,False
Harmony at HOME,harmony at home,NCT05722743,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
National Institute on Aging Program,national institute on aging program,NCT05722743,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Transcranial alternating current stimulation (tACS) (active); Transcranial direct current stimulation (tDCS) (active),transcranial alternating current stimulation tacs active transcranial direct current stimulation tdcs active,NCT05661084,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Transcranial alternating current stimulation (tACS) (sham); Transcranial direct current stimulation (tDCS) (sham),transcranial alternating current stimulation tacs sham transcranial direct current stimulation tdcs sham,NCT05661084,DEVICE,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Transcranial alternating current stimulation (tACS) (active); Transcranial direct current stimulation (tDCS) (sham),transcranial alternating current stimulation tacs active transcranial direct current stimulation tdcs sham,NCT05661084,DEVICE,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Transcranial alternating current stimulation (tACS) (sham); Transcranial direct current stimulation (tDCS) (active),transcranial alternating current stimulation tacs sham transcranial direct current stimulation tdcs active,NCT05661084,DEVICE,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
NYUCI-AC,nyuci ac,NCT00362284,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Indocynanine Green meningeal injection to understand anatomical connection from the meningeal lymphatic system to the cervical lymph nodes,indocynanine green meningeal injection to understand anatomical connection from the meningeal lymphatic system to the cervical lymph nodes,NCT07682155,PROCEDURE,procedure,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,False
Psychotherapy groups,psychotherapy groups,NCT02418806,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Self-help groups,self help groups,NCT02418806,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Progenitor Stem Cell Culture,progenitor stem cell culture,NCT00927108,OTHER,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
[11C]MeS-IMPY,11c mes impy,NCT00407576,DRUG,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),rule_keyword,high,False,False
11C-JNJ-63779586,11c jnj 63779586,NCT03089918,DRUG,investigational_therapeutic_unverified,Diagnostic Agent,isotope-labeled tracer name (18F/11C-style notation) combined with diagnostic study context (ClinicalTrials.gov Primary Purpose: DIAGNOSTIC and/or explicit PET/SPECT/radioligand/imaging wording in the trial's title or brief summary),rule_keyword,high,False,False
Mirtazapine,mirtazapine,NCT01867775; NCT03031184,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
LY2886721,ly2886721,NCT01133405; NCT01227252; NCT01561430; NCT01807026,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Transcraneal Direct Current Stimulation (tDCS)- Active,transcraneal direct current stimulation tdcs active,NCT06861231,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Transcranial Direct Current Stimulation (tDCS)- Sham,transcranial direct current stimulation tdcs sham,NCT06861231,DEVICE,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Cognitive Training (CT),cognitive training ct,NCT04866979; NCT06861231,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
INM-176,inm 176,NCT01245530,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Initial Coaching Call,initial coaching call,NCT06244043,OTHER,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Email Support,email support,NCT06244043,OTHER,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Text Messages,text messages,NCT06244043,OTHER,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Acoramidis,acoramidis,NCT03860935; NCT04882735; NCT06563895,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
ABvac40,abvac40,NCT03461276,BIOLOGICAL,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
ESML-EX (Physical Activity Program),esml ex physical activity program,NCT01550718,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
ESML-Social (Social Activity Program),esml social social activity program,NCT01550718,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Mindfulness meditation,mindfulness meditation,NCT05027113,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Placebo of AD-35 60mg /AD-35 30mg,placebo of ad 35 60mg ad 35 30mg,NCT03790982,DRUG,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
Placebo of AD-35 60mg /AD-35 60mg,placebo of ad 35 60mg ad 35 60mg,NCT03790982,DRUG,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
AD-35 30 mg + Placebo of AD-35 30 mg,ad 35 30 mg placebo of ad 35 30 mg,NCT03790982,DRUG,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
AD-35 60 mg,ad 35 60 mg,NCT03790982,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
[18F]-MFBG PET CT,18f mfbg pet ct,NCT06120049,DIAGNOSTIC_TEST,uncertain,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,rule_type,medium,False,True
[18F]-FE-PE2I PET CT or PET MRI,18f fe pe2i pet ct or pet mri,NCT06120049,DIAGNOSTIC_TEST,procedure,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,False
[123I]-MIBG SPECT CT,123i mibg spect ct,NCT06120049,DIAGNOSTIC_TEST,procedure,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,False
[18F]-MFBG PET dosimetry scans,18f mfbg pet dosimetry scans,NCT06120049,DIAGNOSTIC_TEST,uncertain,Diagnostic Agent,intervention type is DIAGNOSTIC_TEST,rule_type,medium,False,True
[18F]-PI2620,18f pi2620,NCT04715750,DRUG,diagnostic_or_imaging_agent,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,False
ALZ-101,alz 101,NCT05328115,BIOLOGICAL,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
"Pleiotropic info, in-person disclosure",pleiotropic info in person disclosure,NCT00462917,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
"AD-only info, in-person disclosure",ad only info in person disclosure,NCT00462917,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
"Pleiotropic info, phone disclosure",pleiotropic info phone disclosure,NCT00462917,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
"AD-only info, phone disclosure",ad only info phone disclosure,NCT00462917,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
GPS modem and RFID,gps modem and rfid,NCT00743418,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Transcranial Photobiomodulation,transcranial photobiomodulation,NCT06497413,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Transcranial Photobiomodulation helmet (Neuradiant 1070 Plus) with no light administered,transcranial photobiomodulation helmet neuradiant 1070 plus with no light administered,NCT06497413,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Lifestyle medicine,lifestyle medicine,NCT04606420,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
ACP Video Program,acp video program,NCT02612688,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Educational Brochure,educational brochure,NCT04635540,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
auditory discrimination training,auditory discrimination training,NCT01061489,OTHER,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
physical movement training,physical movement training,NCT01061489,OTHER,uncertain,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,False,True
Immediate treatment group with High-Intensity Prompts,immediate treatment group with high intensity prompts,NCT05012410,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Immediate treatment group with Low-Intensity Prompts,immediate treatment group with low intensity prompts,NCT05012410,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Waitlist Control after three months with High-Intensity Prompts,waitlist control after three months with high intensity prompts,NCT05012410,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Waitlist Control after three months with Low-Intensity Prompts,waitlist control after three months with low intensity prompts,NCT05012410,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
MNI-330 as a brain SPECT tracer of Beta-Amyloid,mni 330 as a brain spect tracer of beta amyloid,NCT00657813,DRUG,diagnostic_or_imaging_agent,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,False
SPG302,spg302,NCT06427668; NCT06833281,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
De Pie Intervention,de pie intervention,NCT06362824,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
Active Comparison Group: Healthy Actions And Lifestyles To Avoid Dementia (HALT-AD),active comparison group healthy actions and lifestyles to avoid dementia halt ad,NCT06362824,OTHER,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
BPDO-1603,bpdo 1603,NCT04229927; NCT05804279,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Recombinant COVID-19 vaccine (adenovirus type 5 vector) for Inhalation (Ad5-nCoV-IH),recombinant covid 19 vaccine adenovirus type 5 vector for inhalation ad5 ncov ih,NCT05124561; NCT05169008,BIOLOGICAL,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
deep cervical lymphaticovenous anastomosis,deep cervical lymphaticovenous anastomosis,NCT07294885,PROCEDURE,procedure,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,False
MK0952,mk0952,NCT00362024,DRUG,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
Comparator: Placebo,comparator placebo,NCT00362024; NCT00766363,DRUG,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
See Yourself Differently (syd) mobile app,see yourself differently syd mobile app,NCT06979778,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Active group,active group,NCT04466735,DIETARY_SUPPLEMENT,investigational_therapeutic_unverified,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,False
Placebo group,placebo group,NCT04466735,DIETARY_SUPPLEMENT,placebo_or_sham,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,False
TRAIN-AD,train ad,NCT03244917,BEHAVIORAL,behavioral,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,False
home-based self-administered interactive exercise,home based self administered interactive exercise,NCT07072962,DEVICE,device,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,False
Luxtherapy,luxtherapy,NCT02686190,OTHER,investigational_therapeutic_unverified,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,True
