NCT Number,Sponsor,Study Title,intervention_type,intervention_name,normalized_name,classification,classification_reason,official_pipeline_match,matched_pipeline_drug,official_source_url,verification_status,confidence,needs_manual_review,pipeline_scope,scope_reason,scope_method,scope_confidence,manual_review_required,diagnostic_subtype
NCT02638519,Thunder Bay Regional Health Research Institute,HP Xenon-129 fMRI of Healthy Volunteers and Participants With Alzheimer's Disease,DEVICE,1H-129Xe Dual-Tuned Quadrature Head Coil,1h 129xe dual tuned quadrature head coil,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT01582919,"University Hospital, Bordeaux",Neuroimaging Markers of Alzheimer Disease: a Longitudinal Population Study,OTHER,Neuroimaging,neuroimaging,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT00519298,Wyeth is now a wholly owned subsidiary of Pfizer,Study Evaluating Effects of SAM-531 on Sleep Electroencephalogram (EEG) and Quantitative Wake EEG in Healthy Subjects,DRUG,SAM-531,sam 531,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT00519298,Wyeth is now a wholly owned subsidiary of Pfizer,Study Evaluating Effects of SAM-531 on Sleep Electroencephalogram (EEG) and Quantitative Wake EEG in Healthy Subjects,OTHER,placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT00519298,Wyeth is now a wholly owned subsidiary of Pfizer,Study Evaluating Effects of SAM-531 on Sleep Electroencephalogram (EEG) and Quantitative Wake EEG in Healthy Subjects,DRUG,Donepezil,donepezil,comparator_or_background_therapy,approved Alzheimer's medicine used alongside a likely investigational candidate in the same trial,False,,,no_match,medium,False,Placebo or Comparator,"approved background/comparator therapy, not the trial's studied candidate",rule_classification,medium,False,
NCT02626377,Centre Hospitalier Universitaire de Besancon,Multicenter Prospective Cohort of Informal Caregivers in Burgundy and Franche-Comté,BEHAVIORAL,Support provided by social worker,support provided by social worker,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT02626377,Centre Hospitalier Universitaire de Besancon,Multicenter Prospective Cohort of Informal Caregivers in Burgundy and Franche-Comté,OTHER,Information booklet receipt,information booklet receipt,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT00959881,Wyeth is now a wholly owned subsidiary of Pfizer,Study Evaluating The Coadministration of Begacestat And Donepezil,DRUG,Donepezil plus placebo,donepezil plus placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT00959881,Wyeth is now a wholly owned subsidiary of Pfizer,Study Evaluating The Coadministration of Begacestat And Donepezil,DRUG,Donepezil,donepezil,comparator_or_background_therapy,approved Alzheimer's medicine used alongside a likely investigational candidate in the same trial,False,,,no_match,medium,False,Placebo or Comparator,"approved background/comparator therapy, not the trial's studied candidate",rule_classification,medium,False,
NCT00959881,Wyeth is now a wholly owned subsidiary of Pfizer,Study Evaluating The Coadministration of Begacestat And Donepezil,DRUG,Begacestat,begacestat,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT05164536,Invicro,Plasma P-tau2017 and Quantitative Amyloid PET Imaging,DRUG,Amyvid,amyvid,diagnostic_or_imaging_agent,matches a curated diagnostic/imaging tracer name,False,,,not_applicable,high,False,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,Amyloid PET tracer
NCT00870311,Wayne State University,"Investigation of Lithium on Signal Transduction, Gene Expression and Brain Myo-Inositol Levels in Manic Patients",DRUG,Lithium Carbonate,lithium carbonate,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT04542109,Oregon Health and Science University,REmote Assessment and Dynamic Response Intervention,BEHAVIORAL,READyR A,readyr a,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT04542109,Oregon Health and Science University,REmote Assessment and Dynamic Response Intervention,BEHAVIORAL,READyR B,readyr b,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT06877312,University of Manitoba,Longitudinal Study to Investigate Different Transcranial Electrical Stimulation,DEVICE,Transcranial Direct Current Stimulation (tDCS),transcranial direct current stimulation tdcs,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT06877312,University of Manitoba,Longitudinal Study to Investigate Different Transcranial Electrical Stimulation,DEVICE,30 Hz Transcranial Alternating Current Stimulation (tACS),30 hz transcranial alternating current stimulation tacs,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT06877312,University of Manitoba,Longitudinal Study to Investigate Different Transcranial Electrical Stimulation,DEVICE,50 Hz Transcranial Alternating Current Stimulation (tACS),50 hz transcranial alternating current stimulation tacs,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT06877312,University of Manitoba,Longitudinal Study to Investigate Different Transcranial Electrical Stimulation,DEVICE,70 Hz Transcranial Alternating Current Stimulation (tACS),70 hz transcranial alternating current stimulation tacs,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT06877312,University of Manitoba,Longitudinal Study to Investigate Different Transcranial Electrical Stimulation,DEVICE,90 Hz Transcranial Alternating Current Stimulation (tACS),90 hz transcranial alternating current stimulation tacs,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT06877312,University of Manitoba,Longitudinal Study to Investigate Different Transcranial Electrical Stimulation,DEVICE,Transcranial Random Noise Stimulation (tRNS),transcranial random noise stimulation trns,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT02664571,Centre Hospitalier Universitaire de Nīmes,Florbetaben as an Amyloid Plaque Marker in Elderly Patients With Focal or Disseminated Superficial Hemosiderosis,DEVICE,Pet scan with FBB,pet scan with fbb,procedure,intervention type or name indicates a clinical procedure or imaging exam,False,,,not_applicable,high,False,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,
NCT02664571,Centre Hospitalier Universitaire de Nīmes,Florbetaben as an Amyloid Plaque Marker in Elderly Patients With Focal or Disseminated Superficial Hemosiderosis,DEVICE,MRI scan,mri scan,procedure,intervention type or name indicates a clinical procedure or imaging exam,False,,,not_applicable,high,False,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,
NCT02664571,Centre Hospitalier Universitaire de Nīmes,Florbetaben as an Amyloid Plaque Marker in Elderly Patients With Focal or Disseminated Superficial Hemosiderosis,BIOLOGICAL,APO E genotyping,apo e genotyping,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Exclude,"generic diagnostic/biomarker test description (e.g. Blood Test, CSF Biomarkers) — never a canonical drug name",rule_keyword,high,False,
NCT05783830,AlzeCure Pharma,Study Evaluating the Pharmacokinetics of a Single Microdose of ACD856,DRUG,ACD856,acd856,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT02958930,"NeuroEM Therapeutics, Inc.",Safety and Efficacy of Transcranial Electromagnetic Treatment Against Alzheimer's Disease,DEVICE,MemorEM 1000,memorem 1000,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT04428034,The University of Texas Health Science Center at San Antonio,Learning Skills Together Pilot Study,BEHAVIORAL,Learning Skills Together,learning skills together,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT01029132,Samsung Medical Center,Characteristics of Treatment Responders to Galantamine,DRUG,galantamine,galantamine,investigational_therapeutic_unverified,"only non-placebo therapeutic in the trial; approved Alzheimer's medicine with no combination partner found, so it may be the treatment under study",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT03444181,University of Bergen,"ALzheimer and MUsic THerapy: Effects of Music Lessons on Brain Plasticity, Mood, and Quality of Life in Alzheimer Patients",BEHAVIORAL,Music lessons,music lessons,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT03444181,University of Bergen,"ALzheimer and MUsic THerapy: Effects of Music Lessons on Brain Plasticity, Mood, and Quality of Life in Alzheimer Patients",BEHAVIORAL,Training intervention,training intervention,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT02351388,"National Center of Neurology and Psychiatry, Japan",Transcranial Direct Current Stimulation for Depression in Alzheimer's Disease Patient - Preliminary Research,DEVICE,Transcranial Direct Current Stimulation,transcranial direct current stimulation,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT02351388,"National Center of Neurology and Psychiatry, Japan",Transcranial Direct Current Stimulation for Depression in Alzheimer's Disease Patient - Preliminary Research,OTHER,Sham Stimulation,sham stimulation,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT03531710,United Neuroscience Ltd.,"An Extension Study of V203-AD Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of UB-311",BIOLOGICAL,UB-311,ub 311,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT03531710,United Neuroscience Ltd.,"An Extension Study of V203-AD Study to Evaluate the Safety, Tolerability, Immunogenicity, and Efficacy of UB-311",DRUG,Placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT03866018,Centre Hospitalier Universitaire de Nice,Contribution of Physical Activity to Self-esteem and Motivation in Older Adults With Minor to Major Cognitive Disorders Such as Alzheimer's Disease or Related Disorders,OTHER,Adapted physical activity,adapted physical activity,behavioral,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT05469360,Novartis Pharmaceuticals,"Study of Safety, Tolerability, Pharmacodynamics and Pharmacokinetics of NIO752 in Early Alzheimer's Disease Participants",DRUG,NIO752,nio752,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT05469360,Novartis Pharmaceuticals,"Study of Safety, Tolerability, Pharmacodynamics and Pharmacokinetics of NIO752 in Early Alzheimer's Disease Participants",DRUG,NIO752,nio752,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT05469360,Novartis Pharmaceuticals,"Study of Safety, Tolerability, Pharmacodynamics and Pharmacokinetics of NIO752 in Early Alzheimer's Disease Participants",DRUG,Matching placebo,matching placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT05469360,Novartis Pharmaceuticals,"Study of Safety, Tolerability, Pharmacodynamics and Pharmacokinetics of NIO752 in Early Alzheimer's Disease Participants",DRUG,NIO752,nio752,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT05469360,Novartis Pharmaceuticals,"Study of Safety, Tolerability, Pharmacodynamics and Pharmacokinetics of NIO752 in Early Alzheimer's Disease Participants",DRUG,NIO752,nio752,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT05469360,Novartis Pharmaceuticals,"Study of Safety, Tolerability, Pharmacodynamics and Pharmacokinetics of NIO752 in Early Alzheimer's Disease Participants",DRUG,NIO752,nio752,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT05469360,Novartis Pharmaceuticals,"Study of Safety, Tolerability, Pharmacodynamics and Pharmacokinetics of NIO752 in Early Alzheimer's Disease Participants",DRUG,Matching placebo,matching placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT04313127,CanSino Biologics Inc.,Phase I Clinical Trial of a COVID-19 Vaccine in 18-60 Healthy Adults,BIOLOGICAL,Recombinant Novel Coronavirus Vaccine (Adenovirus Type 5 Vector),recombinant novel coronavirus vaccine adenovirus type 5 vector,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT03955380,Prof. Dr. Dieter Willbold,MAD Phase I Study to Investigate Contraloid Acetate,DRUG,Contraloid,contraloid,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT00455000,Pfizer,"A Phase I, Single IV Dose Of PF-04360365 In Adults With Mild To Moderate Alzheimer's Disease",BIOLOGICAL,PF-04360365,pf 04360365,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT00455000,Pfizer,"A Phase I, Single IV Dose Of PF-04360365 In Adults With Mild To Moderate Alzheimer's Disease",DRUG,Placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT00004845,National Institute on Aging (NIA),A Multicenter Trial of Rofecoxib and Naproxen in Alzheimer's Disease (NSAID Study),DRUG,Rofecoxib,rofecoxib,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT00004845,National Institute on Aging (NIA),A Multicenter Trial of Rofecoxib and Naproxen in Alzheimer's Disease (NSAID Study),DRUG,Naproxen,naproxen,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT04403165,NYU Langone Health,Locus-coeruleus Function in Normal Elderly and AD Risk,PROCEDURE,Nocturnal polysomnography (NPSG),nocturnal polysomnography npsg,procedure,intervention type or name indicates a clinical procedure or imaging exam,False,,,not_applicable,high,False,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,
NCT04403165,NYU Langone Health,Locus-coeruleus Function in Normal Elderly and AD Risk,PROCEDURE,Lumbar Puncture (LP),lumbar puncture lp,procedure,intervention type or name indicates a clinical procedure or imaging exam,False,,,not_applicable,high,False,Non-Drug Intervention,clinical procedure or imaging exam,rule_type,high,False,
NCT04403165,NYU Langone Health,Locus-coeruleus Function in Normal Elderly and AD Risk,OTHER,"PET-MR measurement with a norepinephrine transporter (NET)-selective radiotracer (S,S)-[11C]Omethylreboxetine ([11C]MRB)",pet mr measurement with a norepinephrine transporter net selective radiotracer s s 11c omethylreboxetine 11c mrb,diagnostic_or_imaging_agent,matches a curated diagnostic/imaging tracer name,False,,,not_applicable,high,False,Diagnostic Agent,matches a curated diagnostic/imaging tracer name,rule_classification,high,False,Tau PET tracer
NCT04403165,NYU Langone Health,Locus-coeruleus Function in Normal Elderly and AD Risk,BEHAVIORAL,Psychomotor Vigilance Task (PVT),psychomotor vigilance task pvt,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT04296565,VA Office of Research and Development,Water-based Activity to Enhance Recall in Veterans,BEHAVIORAL,Usual Care,usual care,other,"non-treatment control arm (e.g. no intervention / untreated / usual care), not a therapeutic product",False,,,not_applicable,high,False,Non-Drug Intervention,"non-treatment control arm (e.g. no intervention / untreated / usual care), not a product",rule_classification,high,False,
NCT04296565,VA Office of Research and Development,Water-based Activity to Enhance Recall in Veterans,BEHAVIORAL,WATER+CT,water ct,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT06721156,Merck Sharp & Dohme LLC,A Study to Evaluate the Efficacy and Safety of MK-1167 in Participants With Alzheimer's Disease Dementia (MK-1167-008),DRUG,MK-1167,mk 1167,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT06721156,Merck Sharp & Dohme LLC,A Study to Evaluate the Efficacy and Safety of MK-1167 in Participants With Alzheimer's Disease Dementia (MK-1167-008),DRUG,Placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT05172128,Duke University,Effect of Blueberry Supplementation on Alzheimer's Biomarkers,DIETARY_SUPPLEMENT,lyophilized blueberry supplement,lyophilized blueberry supplement,investigational_therapeutic_unverified,"sole plausible therapeutic candidate in this trial (all other interventions are placebo/diagnostic/procedural/device/behavioral), but lacks an official sponsor-pipeline match",False,,,no_match,medium,True,Non-Drug Intervention,dietary supplement / nutraceutical — excluded from the default therapeutic view unless curated as a genuine investigational program (data/reference/intervention_scope_overrides.csv),rule_type,medium,False,
NCT03435705,"University Hospital, Bordeaux",Maintenance of Occupational Therapy for Patients With Alzheimer,BEHAVIORAL,maintaining of occupational therapy,maintaining of occupational therapy,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT07051239,Erasme University Hospital,Sleep Stimulation to Enhance Waste Clearance in the Brain,OTHER,Closed-loop acoustic stimulation,closed loop acoustic stimulation,behavioral,name indicates a neuromodulation/digital/educational/exercise/observational-monitoring non-drug activity or device,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT07332377,Virginia Commonwealth University,mHealth Intervention for Pain Self Management,BEHAVIORAL,Mobile Health (mHealth) Intervention,mobile health mhealth intervention,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT01696019,University of South Florida,Randomized Trial of Exercise and Social Interaction in a Community-Based Sample of Non-Demented Chinese Elders,OTHER,Fast walking,fast walking,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT01696019,University of South Florida,Randomized Trial of Exercise and Social Interaction in a Community-Based Sample of Non-Demented Chinese Elders,OTHER,Tai Chi,tai chi,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT01696019,University of South Florida,Randomized Trial of Exercise and Social Interaction in a Community-Based Sample of Non-Demented Chinese Elders,OTHER,Intellectual stimulation,intellectual stimulation,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT01696019,University of South Florida,Randomized Trial of Exercise and Social Interaction in a Community-Based Sample of Non-Demented Chinese Elders,OTHER,Contact and testing only,contact and testing only,uncertain,"no pipeline match, not a recognized development-code pattern or known compound, and not an approved background medicine; multiple unresolved therapeutic candidates in this trial",False,,,no_match,low,True,Needs Review,classify_intervention() could not resolve a confident therapeutic candidate for this intervention,rule_classification,low,True,
NCT05979922,"Photozig, Inc.",Mindfulness-based Cognitive Coping for ADRD Caregivers,BEHAVIORAL,Mindfulness-based Cognitive Coping,mindfulness based cognitive coping,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT05979922,"Photozig, Inc.",Mindfulness-based Cognitive Coping for ADRD Caregivers,BEHAVIORAL,Traditional Educational/Resources Program,traditional educational resources program,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT03550131,University of Washington,Innovations in Dementia Empowerment and Action,BEHAVIORAL,Innovations in Dementia Empowerment and Action (IDEA),innovations in dementia empowerment and action idea,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT03550131,University of Washington,Innovations in Dementia Empowerment and Action,BEHAVIORAL,Reducing Disabilities in Alzheimer's Disease (RDAD),reducing disabilities in alzheimer s disease rdad,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT00314912,Bellus Health Inc. - a GSK company,Open-Label Extension of the Phase III Study With Tramiprosate (3APS) in Patients With Mild to Moderate Alzheimer's Disease,DRUG,Tramiprosate (3APS),tramiprosate 3aps,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT06538311,Massachusetts General Hospital,Transcranial Magnetic Stimulation Treatment for Alzheimer's Disease,DEVICE,Active rTMS,active rtms,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT06538311,Massachusetts General Hospital,Transcranial Magnetic Stimulation Treatment for Alzheimer's Disease,DEVICE,Sham rTMS,sham rtms,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT02931136,Shanghai Mental Health Center,Early Diagnosis and Early Treatment of Alzheimer's Disease Based on Senile Plaque Imaging,DRUG,Huperzine A,huperzine a,investigational_therapeutic_unverified,no confirmed pipeline match; name resembles a sponsor development code or matches a known investigational compound list,False,,,no_match,medium,True,Therapeutic Drug,investigational therapeutic candidate; drug/biological intervention type with no disqualifying evidence found,rule_classification,medium,True,
NCT02931136,Shanghai Mental Health Center,Early Diagnosis and Early Treatment of Alzheimer's Disease Based on Senile Plaque Imaging,DRUG,Placebo,placebo,placebo_or_sham,name indicates a placebo/sham/vehicle-control arm,False,,,not_applicable,high,False,Placebo or Comparator,placebo/sham/vehicle-control arm,rule_classification,high,False,
NCT04915092,Azienda USL Reggio Emilia - IRCCS,Evaluation of the Efficacy of an App for Parents to Promote Healthy Life-styles in Children: the CoSIE Trial,DEVICE,CoSIE app,cosie app,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT06940687,Yale University,Neurophysiological Benefits of Live Music for Early Alzheimer's Patients and Their Caregivers,BEHAVIORAL,Pre-recorded Music Session,pre recorded music session,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT06940687,Yale University,Neurophysiological Benefits of Live Music for Early Alzheimer's Patients and Their Caregivers,BEHAVIORAL,Live Music Session,live music session,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
NCT01659398,"Patrick Moriarty, MD, FACP, FACC",Enhanced External Counterpulsation and Its Effects on Vascular Hemodynamics in Cognitively Impaired Patients,DEVICE,External Counterpulsation (EECP),external counterpulsation eecp,device,intervention type is DEVICE,False,,,not_applicable,high,False,Non-Drug Intervention,intervention type is DEVICE,rule_type,high,False,
NCT01329484,Shaare Zedek Medical Center,Computerized Personal Interventions for Alzheimer's Patients,BEHAVIORAL,Reminiscence therapy,reminiscence therapy,behavioral,intervention type or name indicates a behavioral/non-drug activity,False,,,not_applicable,high,False,Non-Drug Intervention,behavioral/non-drug activity,rule_type,high,False,
